frame_idx,timestamp_s,pose_label,category,karate_terms,n_persons,focal_length_px,head_x,head_y,head_z,spine_x,spine_y,spine_z,hip_l_x,hip_l_y,hip_l_z,hip_r_x,hip_r_y,hip_r_z,lfoot_x,lfoot_y,lfoot_z,rfoot_x,rfoot_y,rfoot_z
6,0.25,,music,,1,712.2,0.0092,-1.5615,-0.2376,0.0928,-1.6084,-0.1179,0.0621,-0.4908,-0.0388,-0.0921,-0.4949,-0.0331,0.0255,-0.0584,0.0315,-0.1192,-0.087,-0.1821
12,0.5,,music,,1,771.2,0.0094,-1.4976,-0.2964,0.092,-1.5753,-0.1941,0.0696,-0.4962,-0.0526,-0.0932,-0.4997,-0.04,0.0275,-0.0725,0.0296,-0.1185,-0.0935,-0.1799
18,0.75,,music,,1,819.4,-0.0001,-1.4076,-0.3933,0.0847,-1.5054,-0.3118,0.069,-0.5043,-0.0854,-0.1054,-0.5092,-0.0858,0.0215,-0.0808,-0.0265,-0.1318,-0.0957,-0.2426
24,1.0,,music,,1,787.5,-0.0,-1.2912,-0.493,0.0832,-1.406,-0.4354,0.0715,-0.5037,-0.1089,-0.1093,-0.5135,-0.1168,0.0197,-0.0755,-0.0723,-0.1289,-0.0984,-0.2846
30,1.25,,music,,1,802.7,0.0033,-1.2423,-0.5271,0.0871,-1.3607,-0.4769,0.0749,-0.5056,-0.1237,-0.1075,-0.5146,-0.1295,0.0226,-0.0749,-0.0928,-0.1243,-0.0982,-0.3074
36,1.5,,music,,1,778.9,0.0034,-1.2465,-0.5293,0.0883,-1.3634,-0.477,0.0756,-0.5077,-0.1345,-0.1083,-0.516,-0.1366,0.0222,-0.0762,-0.1046,-0.1236,-0.1,-0.3173
42,1.75,,music,,1,761.4,0.0022,-1.2561,-0.5239,0.0867,-1.3722,-0.4696,0.0746,-0.5071,-0.1306,-0.1087,-0.5154,-0.1341,0.0203,-0.0764,-0.1,-0.1241,-0.1009,-0.3118
48,2.0,,music,,1,783.8,0.003,-1.311,-0.4855,0.0853,-1.4227,-0.4211,0.0718,-0.5074,-0.1123,-0.1095,-0.517,-0.1228,0.0171,-0.0831,-0.0714,-0.1243,-0.1063,-0.2868
54,2.25,,music,,1,778.4,0.0066,-1.3989,-0.4123,0.0865,-1.4972,-0.3278,0.0735,-0.5091,-0.1045,-0.1065,-0.515,-0.1105,0.017,-0.0884,-0.0538,-0.1202,-0.1098,-0.2629
60,2.5,,music,,1,766.0,0.0154,-1.4948,-0.332,0.0941,-1.5643,-0.2209,0.0731,-0.5019,-0.0616,-0.0943,-0.5036,-0.0525,0.0235,-0.0796,0.0106,-0.1155,-0.0964,-0.1925
